ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	Book
847-control	"He whispered something in his ear, but I was too far away to hear it. Matthew nodded and hugged James, Stephanie, and Jessie before turning to me  ""Don't ever forget that you can do anything,"" I said as I pulled him tight."	him	212	Matthew	70	TRUE	James	96	FALSE	where-it-all-began.epub
847-swap-1	"She whispered something in her ear, but I was too far away to hear it. Jessie nodded and hugged Stephanie, James, and Matthew before turning to me  ""Don't ever forget that you can do anything,"" I said as I pulled her tight."	her	213	Jessie	71	TRUE	Stephanie	96	FALSE	where-it-all-began.epub
847-swap-2	"She whispered something in her ear, but I was too far away to hear it. Stephanie nodded and hugged Jessie, Matthew, and James before turning to me  ""Don't ever forget that you can do anything,"" I said as I pulled her tight."	her	213	Stephanie	71	TRUE	Jessie	99	FALSE	where-it-all-began.epub
848	"""Well that's what Old Betha calls him.""  ""Quiet,"" Dana said.  When Clint neared, Brayden greeted him with a guarded, ""Cousin."""	him	97	Clint	67	TRUE	Brayden	81	FALSE	where-serpents-strike-children-of-the-falls-vol-1.epub
848-control	"""Well that's what Old Dana calls him.""  ""Quiet,"" Betha said.  When Brayden neared, Clint greeted him with a guarded, ""Cousin."""	him	97	Brayden	67	TRUE	Clint	83	FALSE	where-serpents-strike-children-of-the-falls-vol-1.epub
848-swap-1	"""Well that's what Old Brayden calls her.""  ""Quiet,"" Clint said.  When Dana neared, Betha greeted her with a guarded, ""Cousin."""	her	97	Dana	70	TRUE	Betha	83	FALSE	where-serpents-strike-children-of-the-falls-vol-1.epub
848-swap-2	"""Well that's what Old Clint calls her.""  ""Quiet,"" Brayden said.  When Betha neared, Dana greeted her with a guarded, ""Cousin."""	her	97	Betha	70	TRUE	Dana	84	FALSE	where-serpents-strike-children-of-the-falls-vol-1.epub
850	"From what we have heard, she has lost a considerable amount of Mr Cartier's money.""  Ann appeared to relax slightly as she admitted, ""Oh, Maddie might have a fondness of gambling, but I don't consider it to be a problem. Until she met this jerk we would go to Las Vegas about once every other month for a few days while Bill was away on business."	she	227	Ann	85	FALSE	Maddie	138	TRUE	where-the-chips-fell.epub
850-control	"From what we have heard, she has lost a considerable amount of Bill's money.""  Maddie appeared to relax slightly as she admitted, ""Oh, Ann might have a fondness of gambling, but I don't consider it to be a problem. Until she met this jerk we would go to Las Vegas about once every other month for a few days while Mr Cartier was away on business."	she	221	Maddie	79	FALSE	Ann	135	TRUE	where-the-chips-fell.epub
850-swap-1	"From what we have heard, he has lost a considerable amount of Maddie's money.""  Bill appeared to relax slightly as he admitted, ""Oh, Mr Cartier might have a fondness of gambling, but I don't consider it to be a problem. Until he met this jerk we would go to Las Vegas about once every other month for a few days while Ann was away on business."	he	226	Bill	80	FALSE	Mr Cartier	133	TRUE	where-the-chips-fell.epub
850-swap-2	"From what we have heard, he has lost a considerable amount of Ann's money.""  Mr Cartier appeared to relax slightly as he admitted, ""Oh, Bill might have a fondness of gambling, but I don't consider it to be a problem. Until he met this jerk we would go to Las Vegas about once every other month for a few days while Maddie was away on business."	he	223	Mr Cartier	77	FALSE	Bill	136	TRUE	where-the-chips-fell.epub
851	"But still, something is terribly wrong,"" he continued. ""I can't put my finger on it just yet, but I'm sure it will all come to light sometime."" Eddie blew a puff of smoke out of his window as we pulled out of the driveway.  After we returned to Anton's home and freshened up, we met with Ms. Henderson in the drawing room for a light snack and cocktails. We began to recount our conversation with Ann to Ms. Henderson when her countenance suddenly changed."	her	423	Ann	397	FALSE	Ms. Henderson	404	TRUE	where-the-chips-fell.epub
851-control	"But still, something is terribly wrong,"" he continued. ""I can't put my finger on it just yet, but I'm sure it will all come to light sometime."" Anton blew a puff of smoke out of his window as we pulled out of the driveway.  After we returned to Eddie's home and freshened up, we met with Ann in the drawing room for a light snack and cocktails. We began to recount our conversation with Ms. Henderson to Ann when her countenance suddenly changed."	her	413	Ms. Henderson	387	FALSE	Ann	404	TRUE	where-the-chips-fell.epub
851-swap-1	"But still, something is terribly wrong,"" she continued. ""I can't put my finger on it just yet, but I'm sure it will all come to light sometime."" Ms. Henderson blew a puff of smoke out of her window as we pulled out of the driveway.  After we returned to Ann's home and freshened up, we met with Eddie in the drawing room for a light snack and cocktails. We began to recount our conversation with Anton to Eddie when his countenance suddenly changed."	his	416	Anton	396	FALSE	Eddie	405	TRUE	where-the-chips-fell.epub
851-swap-2	"But still, something is terribly wrong,"" she continued. ""I can't put my finger on it just yet, but I'm sure it will all come to light sometime."" Ann blew a puff of smoke out of her window as we pulled out of the driveway.  After we returned to Ms. Henderson's home and freshened up, we met with Anton in the drawing room for a light snack and cocktails. We began to recount our conversation with Eddie to Anton when his countenance suddenly changed."	his	416	Eddie	396	FALSE	Anton	405	TRUE	where-the-chips-fell.epub
856	"Every year Sal made bunches of food and there were drinks and people from all over the town came in to celebrate the new year. The place was packed when they arrived, and Jamie and Simon immediately found themselves with drinks in their hands, courtesy of a winking Kathryn.  ""Ring in the new year right,"" she said, laughing."	she	306	Jamie	171	FALSE	Kathryn	266	TRUE	where-the-heart-is-a-bwwm-interracial-pregnancy-romance.epub
856-control	"Every year Simon made bunches of food and there were drinks and people from all over the town came in to celebrate the new year. The place was packed when they arrived, and Kathryn and Sal immediately found themselves with drinks in their hands, courtesy of a winking Jamie.  ""Ring in the new year right,"" she said, laughing."	she	306	Kathryn	173	FALSE	Jamie	268	TRUE	where-the-heart-is-a-bwwm-interracial-pregnancy-romance.epub
856-swap-1	"Every year Kathryn made bunches of food and there were drinks and people from all over the town came in to celebrate the new year. The place was packed when they arrived, and Simon and Jamie immediately found themselves with drinks in their hands, courtesy of a winking Sal.  ""Ring in the new year right,"" he said, laughing."	he	306	Simon	175	FALSE	Sal	270	TRUE	where-the-heart-is-a-bwwm-interracial-pregnancy-romance.epub
856-swap-2	"Every year Jamie made bunches of food and there were drinks and people from all over the town came in to celebrate the new year. The place was packed when they arrived, and Sal and Kathryn immediately found themselves with drinks in their hands, courtesy of a winking Simon.  ""Ring in the new year right,"" he said, laughing."	he	306	Sal	173	FALSE	Simon	268	TRUE	where-the-heart-is-a-bwwm-interracial-pregnancy-romance.epub
864	Yet, no one, involved would answer that question, at least to her satisfaction.  And now comes the most difficult part. Roxanne was unsure how much Chris and his people knew about Joseph Champion and his renegade band of Pandora.	his	200	Chris	148	FALSE	Joseph Champion	180	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
864-control	Yet, no one, involved would answer that question, at least to her satisfaction.  And now comes the most difficult part. Pandora was unsure how much Joseph Champion and his people knew about Chris and his renegade band of Roxanne.	his	200	Joseph Champion	148	FALSE	Chris	190	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
864-swap-1	Yet, no one, involved would answer that question, at least to his satisfaction.  And now comes the most difficult part. Chris was unsure how much Roxanne and her people knew about Pandora and her renegade band of Joseph Champion.	her	192	Roxanne	146	FALSE	Pandora	180	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
864-swap-2	Yet, no one, involved would answer that question, at least to his satisfaction.  And now comes the most difficult part. Joseph Champion was unsure how much Pandora and her people knew about Roxanne and her renegade band of Chris.	her	202	Pandora	156	FALSE	Roxanne	190	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
866	"The old woman, to her credit, had gained a small measure of her control back. ""When I finished telling her all that I had to say about our past she told me that I deserved to die for what I had allowed to happen to Hugh. She told me that no woman would have disgraced motherhood like I had.""  Lisa told Angel the same story that Serena Tennyson had taken to her fiery grave with her."	her	379	Lisa	293	FALSE	Serena Tennyson	329	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
866-control	"The old woman, to her credit, had gained a small measure of her control back. ""When I finished telling her all that I had to say about our past she told me that I deserved to die for what I had allowed to happen to Angel. She told me that no woman would have disgraced motherhood like I had.""  Serena Tennyson told Hugh the same story that Lisa had taken to her fiery grave with her."	her	379	Serena Tennyson	294	FALSE	Lisa	340	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
866-swap-1	"The old man, to his credit, had gained a small measure of his control back. ""When I finished telling him all that I had to say about our past he told me that I deserved to die for what I had allowed to happen to Serena Tennyson. He told me that no man would have disgraced motherhood like I had.""  Angel told Lisa the same story that Hugh had taken to his fiery grave with him."	him	373	Angel	298	FALSE	Hugh	334	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
866-swap-2	"The old man, to his credit, had gained a small measure of his control back. ""When I finished telling him all that I had to say about our past he told me that I deserved to die for what I had allowed to happen to Lisa. He told me that no man would have disgraced motherhood like I had.""  Hugh told Serena Tennyson the same story that Angel had taken to his fiery grave with him."	him	373	Hugh	287	FALSE	Angel	333	TRUE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
870	And when Champion sent him a evidence of what these renegades from Pandora had done: Thomas realized that the poisoning of President Adolphus Sweet and Mayor Ernestine Johnson was just the start of a mass murder of people of color.	him	23	Thomas	85	TRUE	Adolphus Sweet	133	FALSE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
870-control	And when Champion sent him a evidence of what these renegades from Ernestine Johnson had done: Adolphus Sweet realized that the poisoning of President Thomas and Mayor Pandora was just the start of a mass murder of people of color.	him	23	Adolphus Sweet	95	TRUE	Thomas	151	FALSE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
870-swap-1	And when Champion sent her a evidence of what these renegades from Thomas had done: Pandora realized that the poisoning of President Ernestine Johnson and Mayor Adolphus Sweet was just the start of a mass murder of people of color.	her	23	Pandora	84	TRUE	Ernestine Johnson	133	FALSE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
870-swap-2	And when Champion sent her a evidence of what these renegades from Adolphus Sweet had done: Ernestine Johnson realized that the poisoning of President Pandora and Mayor Thomas was just the start of a mass murder of people of color.	her	23	Ernestine Johnson	92	TRUE	Pandora	151	FALSE	whirlwind-where-are-our-children-a-serial-novel-episode-9-of.epub
871	Joe mumbled to himself. For that night a somber Joe hung out at the end of the bar at Nicole's Place. The negative comment from Caroline's father, Mr Golmulka, affected Joe. He hated being seen as dirt poor trash.	He	174	Mr Golmulka	147	FALSE	Joe	169	TRUE	whiskey-joe.epub
871-control	Mr Golmulka mumbled to himself. For that night a somber Mr Golmulka hung out at the end of the bar at Caroline's Place. The negative comment from Nicole's father, Joe, affected Mr Golmulka. He hated being seen as dirt poor trash.	He	190	Joe	163	FALSE	Mr Golmulka	177	TRUE	whiskey-joe.epub
871-swap-1	Nicole mumbled to herself. For that night a somber Nicole hung out at the end of the bar at Joe's Place. The negative comment from Mr Golmulka's mother, Caroline, affected Nicole. She hated being seen as dirt poor trash.	She	180	Caroline	153	FALSE	Nicole	172	TRUE	whiskey-joe.epub
871-swap-2	Caroline mumbled to herself. For that night a somber Caroline hung out at the end of the bar at Mr Golmulka's Place. The negative comment from Joe's mother, Nicole, affected Caroline. She hated being seen as dirt poor trash.	She	184	Nicole	157	FALSE	Caroline	174	TRUE	whiskey-joe.epub
872	The next few minutes were a chaotic frenzy of activity. Between Anna's screaming, the little girl crying, and Mrs Boyko's panic, Joe struggled to concentrate on dealing with Mr Boyko. Clearly beaten badly, cuts, bruises, and Joe suspected Mr Boyko also suffered from a broken arm and ribs. But the worst, was his sliding in and out of consciousness.	his	309	Joe	225	FALSE	Mr Boyko	239	TRUE	whiskey-joe.epub
872-control	The next few minutes were a chaotic frenzy of activity. Between Mrs Boyko's screaming, the little girl crying, and Anna's panic, Mr Boyko struggled to concentrate on dealing with Joe. Clearly beaten badly, cuts, bruises, and Mr Boyko suspected Joe also suffered from a broken arm and ribs. But the worst, was his sliding in and out of consciousness.	his	309	Mr Boyko	225	FALSE	Joe	244	TRUE	whiskey-joe.epub
872-swap-1	The next few minutes were a chaotic frenzy of activity. Between Joe's screaming, the little boy crying, and Mr Boyko's panic, Anna struggled to concentrate on dealing with Mrs Boyko. Clearly beaten badly, cuts, bruises, and Anna suspected Mrs Boyko also suffered from a broken arm and ribs. But the worst, was her sliding in and out of consciousness.	her	310	Anna	224	FALSE	Mrs Boyko	239	TRUE	whiskey-joe.epub
872-swap-2	The next few minutes were a chaotic frenzy of activity. Between Mr Boyko's screaming, the little boy crying, and Joe's panic, Mrs Boyko struggled to concentrate on dealing with Anna. Clearly beaten badly, cuts, bruises, and Mrs Boyko suspected Anna also suffered from a broken arm and ribs. But the worst, was her sliding in and out of consciousness.	her	310	Mrs Boyko	224	FALSE	Anna	244	TRUE	whiskey-joe.epub
874	Sophie looked to Brice with sympathy but followed her friend down to unlock the front door and make sure the crowds did not come in. Luckily Ricky, who was a bit of a big guy himself followed to help out in case things got out of hand. Sophie was grateful. Unlocking the door, she could hear the crowds and music from outside behind the great wooden door. Opening it slowly, the people cheered,  Tara ran out into the crowd without abandon as Sophie lost her somewhere in the crowd, only to catch sight of her red hair and a man's big arm around her.	her	506	Tara	396	TRUE	Sophie	443	FALSE	whispers-among-the-jasmine.epub
874-control	Tara looked to Ricky with sympathy but followed her friend down to unlock the front door and make sure the crowds did not come in. Luckily Brice, who was a bit of a big guy himself followed to help out in case things got out of hand. Tara was grateful. Unlocking the door, she could hear the crowds and music from outside behind the great wooden door. Opening it slowly, the people cheered,  Sophie ran out into the crowd without abandon as Tara lost her somewhere in the crowd, only to catch sight of her red hair and a man's big arm around her.	her	502	Sophie	392	TRUE	Tara	441	FALSE	whispers-among-the-jasmine.epub
874-swap-1	Brice looked to Sophie with sympathy but followed his friend down to unlock the front door and make sure the crowds did not come in. Luckily Tara, who was a bit of a big girl herself followed to help out in case things got out of hand. Brice was grateful. Unlocking the door, he could hear the crowds and music from outside behind the great wooden door. Opening it slowly, the people cheered,  Ricky ran out into the crowd without abandon as Brice lost him somewhere in the crowd, only to catch sight of his red hair and a woman's big arm around him.	his	504	Ricky	394	TRUE	Brice	442	FALSE	whispers-among-the-jasmine.epub
874-swap-2	Ricky looked to Tara with sympathy but followed his friend down to unlock the front door and make sure the crowds did not come in. Luckily Sophie, who was a bit of a big girl herself followed to help out in case things got out of hand. Ricky was grateful. Unlocking the door, he could hear the crowds and music from outside behind the great wooden door. Opening it slowly, the people cheered,  Brice ran out into the crowd without abandon as Ricky lost him somewhere in the crowd, only to catch sight of his red hair and a woman's big arm around him.	his	504	Brice	394	TRUE	Ricky	442	FALSE	whispers-among-the-jasmine.epub
881	Extremely shook up and worried sick for Sophie. All these thoughts kept going through his head. Kumi insisting there was danger, she was right. It was not Brice at all, it was Geoff, his best friend, how could that be? This was not random he had on a balaclava, he attacked Sophie specifically, but why?	he	239	Brice	155	FALSE	Geoff	176	TRUE	whispers-among-the-jasmine.epub
881-control	Extremely shook up and worried sick for Kumi. All these thoughts kept going through his head. Sophie insisting there was danger, she was right. It was not Geoff at all, it was Brice, his best friend, how could that be? This was not random he had on a balaclava, he attacked Kumi specifically, but why?	he	239	Geoff	155	FALSE	Brice	176	TRUE	whispers-among-the-jasmine.epub
881-swap-1	Extremely shook up and worried sick for Brice. All these thoughts kept going through her head. Geoff insisting there was danger, he was right. It was not Sophie at all, it was Kumi, her best friend, how could that be? This was not random she had on a balaclava, she attacked Brice specifically, but why?	she	238	Sophie	154	FALSE	Kumi	176	TRUE	whispers-among-the-jasmine.epub
881-swap-2	Extremely shook up and worried sick for Geoff. All these thoughts kept going through her head. Brice insisting there was danger, he was right. It was not Kumi at all, it was Sophie, her best friend, how could that be? This was not random she had on a balaclava, she attacked Geoff specifically, but why?	she	238	Kumi	154	FALSE	Sophie	174	TRUE	whispers-among-the-jasmine.epub
884	Thinking that they had made love more times in the short few months together than he and Anne had in the ten years of their marriage. He knew every inch of Sophie's body, every part and he loved every part of her. Now she was hurt and torn at the hand of his best friend, Geoff. Julian thought about he and Geoff's conversations, how he would always make nasty sexual innuendo about Sophie. Then he remembered how he fucked that sales girl in the back on Mardi Gras.	he	396	Julian	279	TRUE	Geoff	307	FALSE	whispers-among-the-jasmine.epub
884-control	Thinking that they had made love more times in the short few months together than he and Sophie had in the ten years of their marriage. He knew every inch of Anne's body, every part and he loved every part of her. Now she was hurt and torn at the hand of his best friend, Julian. Geoff thought about he and Julian's conversations, how he would always make nasty sexual innuendo about Anne. Then he remembered how he fucked that sales girl in the back on Mardi Gras.	he	395	Geoff	280	TRUE	Julian	307	FALSE	whispers-among-the-jasmine.epub
884-swap-1	Thinking that they had made love more times in the short few months together than she and Geoff had in the ten years of their marriage. She knew every inch of Julian's body, every part and she loved every part of him. Now he was hurt and torn at the hand of her best friend, Anne. Sophie thought about she and Anne's conversations, how she would always make nasty sexual innuendo about Julian. Then she remembered how she fucked that sales boy in the back on Mardi Gras.	she	399	Sophie	281	TRUE	Anne	310	FALSE	whispers-among-the-jasmine.epub
884-swap-2	Thinking that they had made love more times in the short few months together than she and Julian had in the ten years of their marriage. She knew every inch of Geoff's body, every part and she loved every part of him. Now he was hurt and torn at the hand of her best friend, Sophie. Anne thought about she and Sophie's conversations, how she would always make nasty sexual innuendo about Geoff. Then she remembered how she fucked that sales boy in the back on Mardi Gras.	she	400	Anne	283	TRUE	Sophie	310	FALSE	whispers-among-the-jasmine.epub
887	Julian then announced that he would be leaving for Dubai in three days. He had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Didier offered help as always and Julian thanked him but told him that he had it under control. Lilian asked if Sophie would go back to school for the remainder of the term, Sophie decided against it. She wanted to tend to her gardening and perhaps do something more with photography, she was not really sure.	She	394	Lilian	289	FALSE	Sophie	367	TRUE	whispers-among-the-jasmine.epub
887-control	Didier then announced that he would be leaving for Dubai in three days. He had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Julian offered help as always and Didier thanked him but told him that he had it under control. Sophie asked if Lilian would go back to school for the remainder of the term, Lilian decided against it. She wanted to tend to her gardening and perhaps do something more with photography, she was not really sure.	She	394	Sophie	289	FALSE	Lilian	367	TRUE	whispers-among-the-jasmine.epub
887-swap-1	Sophie then announced that she would be leaving for Dubai in three days. She had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Lilian offered help as always and Sophie thanked her but told her that she had it under control. Didier asked if Julian would go back to school for the remainder of the term, Julian decided against it. He wanted to tend to his gardening and perhaps do something more with photography, he was not really sure.	He	397	Didier	292	FALSE	Julian	370	TRUE	whispers-among-the-jasmine.epub
887-swap-2	Lilian then announced that she would be leaving for Dubai in three days. She had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Sophie offered help as always and Lilian thanked her but told her that she had it under control. Julian asked if Didier would go back to school for the remainder of the term, Didier decided against it. He wanted to tend to his gardening and perhaps do something more with photography, he was not really sure.	He	397	Julian	292	FALSE	Didier	370	TRUE	whispers-among-the-jasmine.epub
889	Julian then announced that he would be leaving for Dubai in three days. He had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Didier offered help as always and Julian thanked him but told him that he had it under control. Lilian asked if Sophie would go back to school for the remainder of the term, Sophie decided against it. She wanted to tend to her gardening and perhaps do something more with photography, she was not really sure.	she	478	Lilian	289	FALSE	Sophie	367	TRUE	whispers-among-the-jasmine.epub
889-control	Didier then announced that he would be leaving for Dubai in three days. He had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Julian offered help as always and Didier thanked him but told him that he had it under control. Sophie asked if Lilian would go back to school for the remainder of the term, Lilian decided against it. She wanted to tend to her gardening and perhaps do something more with photography, she was not really sure.	she	478	Sophie	289	FALSE	Lilian	367	TRUE	whispers-among-the-jasmine.epub
889-swap-1	Sophie then announced that she would be leaving for Dubai in three days. She had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Lilian offered help as always and Sophie thanked her but told her that she had it under control. Didier asked if Julian would go back to school for the remainder of the term, Julian decided against it. He wanted to tend to his gardening and perhaps do something more with photography, he was not really sure.	he	480	Didier	292	FALSE	Julian	370	TRUE	whispers-among-the-jasmine.epub
889-swap-2	Lilian then announced that she would be leaving for Dubai in three days. She had been late for meetings and could not risk the job falling further behind, which it was perilously close to being. Sophie offered help as always and Lilian thanked her but told her that she had it under control. Julian asked if Didier would go back to school for the remainder of the term, Didier decided against it. He wanted to tend to his gardening and perhaps do something more with photography, he was not really sure.	he	480	Julian	292	FALSE	Didier	370	TRUE	whispers-among-the-jasmine.epub
890	"The careful slant of my head told her that one question was too much too soon.  ""Evan...Draven...Aden...and Nana,"" Kara said like she was ripping off a bandaid."	she	130	Nana	108	FALSE	Kara	115	TRUE	whispers-of-the-damned-see-series-book-1.epub
890-control	"The careful slant of my head told her that one question was too much too soon.  ""Draven...Evan...Aden...and Kara,"" Nana said like she was ripping off a bandaid."	she	130	Kara	108	FALSE	Nana	115	TRUE	whispers-of-the-damned-see-series-book-1.epub
890-swap-1	"The careful slant of my head told him that one question was too much too soon.  ""Kara...Nana...Aden...and Draven,"" Evan said like he was ripping off a bandaid."	he	130	Draven	106	FALSE	Evan	115	TRUE	whispers-of-the-damned-see-series-book-1.epub
890-swap-2	"The careful slant of my head told him that one question was too much too soon.  ""Nana...Kara...Aden...and Evan,"" Draven said like he was ripping off a bandaid."	he	130	Evan	106	FALSE	Draven	113	TRUE	whispers-of-the-damned-see-series-book-1.epub
892	Bryn sat in the still rocker, mirror in his hand.  John had gone out to the fields after taking Carrie over to Megan's where she was to spend the day.	she	125	Carrie	96	TRUE	Megan	111	FALSE	whispers-on-the-wind.epub
892-control	John sat in the still rocker, mirror in his hand.  Bryn had gone out to the fields after taking Megan over to Carrie's where she was to spend the day.	she	125	Megan	96	TRUE	Carrie	110	FALSE	whispers-on-the-wind.epub
892-swap-1	Megan sat in the still rocker, mirror in her hand.  Carrie had gone out to the fields after taking John over to Bryn's where he was to spend the day.	he	125	John	99	TRUE	Bryn	112	FALSE	whispers-on-the-wind.epub
892-swap-2	Carrie sat in the still rocker, mirror in her hand.  Megan had gone out to the fields after taking Bryn over to John's where he was to spend the day.	he	125	Bryn	99	TRUE	John	112	FALSE	whispers-on-the-wind.epub
894	Netta was not so understanding about it. She ranted when the mud from the fields daubed the stairs. She chased the dog out to the barn and tied it up outside during the hardest frosts and she laughed at Carrie's unhappy expression, taking pleasure in the girl's hurt.  Farm business was gradually picking up. Jacky found himself accompanied on most trips, by John, who stayed close to him so that no fiddling could occur.	him	385	Jacky	309	TRUE	John	359	FALSE	whispers-on-the-wind.epub
894-control	Carrie was not so understanding about it. She ranted when the mud from the fields daubed the stairs. She chased the dog out to the barn and tied it up outside during the hardest frosts and she laughed at Netta's unhappy expression, taking pleasure in the girl's hurt.  Farm business was gradually picking up. John found himself accompanied on most trips, by Jacky, who stayed close to him so that no fiddling could occur.	him	385	John	309	TRUE	Jacky	358	FALSE	whispers-on-the-wind.epub
894-swap-1	John was not so understanding about it. He ranted when the mud from the fields daubed the stairs. He chased the dog out to the barn and tied it up outside during the hardest frosts and he laughed at Jacky's unhappy expression, taking pleasure in the boy's hurt.  Farm business was gradually picking up. Carrie found herself accompanied on most trips, by Netta, who stayed close to her so that no fiddling could occur.	her	381	Carrie	303	TRUE	Netta	354	FALSE	whispers-on-the-wind.epub
894-swap-2	Jacky was not so understanding about it. He ranted when the mud from the fields daubed the stairs. He chased the dog out to the barn and tied it up outside during the hardest frosts and he laughed at John's unhappy expression, taking pleasure in the boy's hurt.  Farm business was gradually picking up. Netta found herself accompanied on most trips, by Carrie, who stayed close to her so that no fiddling could occur.	her	381	Netta	303	TRUE	Carrie	353	FALSE	whispers-on-the-wind.epub
899	Card games were continuing in earnest and this time the children were excluded from the parlour when they were played. Jacky and Bryn would tuck themselves away, sometimes playing long into the night. Netta would occasionally sit in with them but more often than not she would be preparing for her wedding, scouring and rummaging through Miri's things, taking what she wanted that she felt wouldn't be missed.	she	381	Netta	201	TRUE	Miri	338	FALSE	whispers-on-the-wind.epub
899-control	Card games were continuing in earnest and this time the children were excluded from the parlour when they were played. Bryn and Jacky would tuck themselves away, sometimes playing long into the night. Miri would occasionally sit in with them but more often than not she would be preparing for her wedding, scouring and rummaging through Netta's things, taking what she wanted that she felt wouldn't be missed.	she	381	Miri	201	TRUE	Netta	337	FALSE	whispers-on-the-wind.epub
899-swap-1	Card games were continuing in earnest and this time the children were excluded from the parlour when they were played. Netta and Miri would tuck themselves away, sometimes playing long into the night. Jacky would occasionally sit in with them but more often than not he would be preparing for his wedding, scouring and rummaging through Bryn's things, taking what he wanted that he felt wouldn't be missed.	he	379	Jacky	201	TRUE	Bryn	337	FALSE	whispers-on-the-wind.epub
899-swap-2	Card games were continuing in earnest and this time the children were excluded from the parlour when they were played. Miri and Netta would tuck themselves away, sometimes playing long into the night. Bryn would occasionally sit in with them but more often than not he would be preparing for his wedding, scouring and rummaging through Jacky's things, taking what he wanted that he felt wouldn't be missed.	he	379	Bryn	201	TRUE	Jacky	336	FALSE	whispers-on-the-wind.epub
902	"Duw, there's a niff! What is it?"" mumbled John hastily finishing his last mouthful.  ""It's enough to choke a giraffe,"" grunted Ernie, reaching for his handkerchief to mask his nose from the smell.  Carrie looked round to see Trix slink in close to her feet, tail well between her legs, head down and looking guilty. """	her	248	Carrie	198	TRUE	Trix	225	FALSE	whispers-on-the-wind.epub
902-control	"Duw, there's a niff! What is it?"" mumbled Ernie hastily finishing his last mouthful.  ""It's enough to choke a giraffe,"" grunted John, reaching for his handkerchief to mask his nose from the smell.  Trix looked round to see Carrie slink in close to her feet, tail well between her legs, head down and looking guilty. """	her	248	Trix	198	TRUE	Carrie	223	FALSE	whispers-on-the-wind.epub
902-swap-1	"Duw, there's a niff! What is it?"" mumbled Trix hastily finishing her last mouthful.  ""It's enough to choke a giraffe,"" grunted Carrie, reaching for her handkerchief to mask her nose from the smell.  Ernie looked round to see John slink in close to his feet, tail well between his legs, head down and looking guilty. """	his	248	Ernie	199	TRUE	John	225	FALSE	whispers-on-the-wind.epub
902-swap-2	"Duw, there's a niff! What is it?"" mumbled Carrie hastily finishing her last mouthful.  ""It's enough to choke a giraffe,"" grunted Trix, reaching for her handkerchief to mask her nose from the smell.  John looked round to see Ernie slink in close to his feet, tail well between his legs, head down and looking guilty. """	his	248	John	199	TRUE	Ernie	224	FALSE	whispers-on-the-wind.epub
908	"""Preservation of family life is an admirable quality, Miss McVey."" Maddy chuckled silently at his quaint turn of phrase.  ""I thought I might have a little time to do some painting while I'm here.""  ""Well, I dare say you might find a willing subject or two among Mr Collier's guests this summer,"" Damon commented. As he turned on his heels to leave, he seemed to remember something."	he	316	Mr Collier's	262	FALSE	Damon	296	TRUE	white-breakers.epub
908-control	"""Preservation of family life is an admirable quality, Maddy."" Miss McVey chuckled silently at his quaint turn of phrase.  ""I thought I might have a little time to do some painting while I'm here.""  ""Well, I dare say you might find a willing subject or two among Damon's guests this summer,"" Mr Collier commented. As he turned on his heels to leave, he seemed to remember something."	he	316	Damon's	262	FALSE	Mr Collier	291	TRUE	white-breakers.epub
908-swap-1	"""Preservation of family life is an admirable quality, Damon."" Mr Collier chuckled silently at her quaint turn of phrase.  ""I thought I might have a little time to do some painting while I'm here.""  ""Well, I dare say you might find a willing subject or two among Maddy's guests this summer,"" Miss McVey commented. As she turned on her heels to leave, she seemed to remember something."	she	316	Maddy's	262	FALSE	Miss McVey	291	TRUE	white-breakers.epub
908-swap-2	"""Preservation of family life is an admirable quality, Mr Collier."" Damon chuckled silently at her quaint turn of phrase.  ""I thought I might have a little time to do some painting while I'm here.""  ""Well, I dare say you might find a willing subject or two among Miss McVey's guests this summer,"" Maddy commented. As she turned on her heels to leave, she seemed to remember something."	she	316	Miss McVey's	262	FALSE	Maddy	296	TRUE	white-breakers.epub
